position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Governor,Anthony J. Abbott,Q56794768,1997,2001,male,1941,,,
Governor,Tony Abbott,Q7821739,1997-09-17,2001-05-11,male,1941-09-09,,,Tony Abbott (diplomat)
Governor,Tony Longrigg,Q7822809,2001-05-11,2004-04-02,male,1944-04-21,,,Tony Longrigg
Governor,Deborah Barnes-Jones,Q1867304,2004,2007,female,1956-10-06,,,Deborah Barnes-Jones
Governor,Peter Waterworth,Q7177605,2007-07-27,2011-03-03,male,1957-04-15,,,Peter Waterworth
Governor,Gordon Wetherell,Q3365174,2008,2011,male,1948-11-11,,Governor Gordon Wetherell (5011436688).jpg,Gordon Wetherell
Governor,Adrian Davis,Q4684969,2011-04-08,2015-07-08,male,,,Adrian Davis.jpg,Adrian Davis (civil servant)
Governor,Elizabeth Carriere,Q20810607,2015-08-05,2018-01-02,female,,,ElizabethCarriere-govuk.jpg,Elizabeth Carriere
Governor,Andrew Pearce,Q47087986,2018-02-01,,male,1960-10-07,,Andy Pearce FCO.jpg,Andrew Pearce (diplomat)
Premier,John Osborne,Q1699125,2001-04-05,2006-06-02,male,1936-05-27,2011-01-02,,John Osborne (Montserrat politician)
Premier,Reuben Meade,Q1862326,2011-09-27,2014-09-12,male,1954-03-07,,Reuben Meade (cropped).jpg,Reuben Meade
Premier,Donaldson Romeo,Q18164296,2014-09-12,2019-11-19,male,1962,,Donaldson Romeo 2014.jpg,Donaldson Romeo
Premier,Joseph E. Farrell,Q71333507,2019-11-19,,male,,,J E Taylor-Farrell (cropped).jpg,Easton Taylor-Farrell
"Minister of Agriculture, Lands, Housing & Environment",Crenston Buffonge,Q104600729,2019-11-25,,male,1974-10-13,,,Crenston Buffonge
"Minister of Communications, Works, Labour & Energy",Samuel Joseph,Q109849941,2019-11-25,,male,,,,
Minister of Education,Charles Kirnon,Q109849924,2019-11-25,,male,,,,
Minister of Finance,Joseph E. Farrell,Q71333507,2019-11-25,,male,,,J E Taylor-Farrell (cropped).jpg,Easton Taylor-Farrell
Minister of Health,Charles Kirnon,Q109849924,2019-11-25,,male,,,,
Speaker of the Legislative Assembly,Howard Fergus,Q20876909,1975,2001,male,1937-07-22,,,Howard Fergus
Speaker of the Legislative Assembly,Howard Fergus,Q20876909,2009-10,2010-04-06,male,1937-07-22,,,Howard Fergus
Speaker of the Legislative Assembly,Teresina Bodkin,Q22683087,2010-04-06,2014,female,,,,Teresina Bodkin
Speaker of the Legislative Assembly,Howard Fergus,Q20876909,2014,2015-01-23,male,1937-07-22,,,Howard Fergus
Speaker of the Legislative Assembly,Shirley Osborne,Q21063908,2014-09,2019-10,female,,,,Shirley Osborne
Speaker of the Legislative Assembly,Teresina Bodkin,Q22683087,2019-12-17,2020-12-20,female,,,,Teresina Bodkin
Speaker of the Legislative Assembly,Charliena White,Q112084077,2020-12-20,,female,,,,Charliena White
Chief Minister,David Brandt,Q5231691,1997-08-22,2001-04-05,male,,,,David Brandt (politician)
Chief Minister,John Osborne,Q1699125,2001-04-05,2006-06-02,male,1936-05-27,2011-01-02,,John Osborne (Montserrat politician)
Chief Minister,Lowell Lewis,Q715018,2006-06-02,2009-09-10,male,1952-08-18,,,Lowell Lewis
Chief Minister,Reuben Meade,Q1862326,2009-09-10,2011-09-26,male,1954-03-07,,Reuben Meade (cropped).jpg,Reuben Meade
